in:Solar Chimney Height (m),in:SC Orientation,in:Room Orientation,in:Room Width(m),in:Room Depth(m),out:FlowRate_m3/hr,out:TotalDiscomfortHours,out:TooHotDiscomfortHours,out:OT_TotalDiscomfortHours,out:OT_TooHotDiscomfortHours,out:NS_OT_TotalDiscomfortHours,out:NS_OT_TooHotDiscomfortHours,out:TotalEnergy,out:CoolingEnergy
4,0,-2,10,22,2642.697379,2858,2836,1761,1759,799,787,11.716214,11.267217
5,0,-2,10,22,2825.418042,2591,2569,1569,1567,792,779,11.642286,11.115502
6,0,-2,10,22,2971.796783,2438,2416,1461,1459,790,777,11.560598,10.961552
7,0,-2,10,22,3119.069492,2324,2302,1394,1392,781,768,11.56702,10.863227
8,0,-2,10,22,3251.349009,2240,2218,1340,1338,782,767,11.599115,10.79153
4,1,-2,10,22,2629.743619,2849,2827,1755,1753,792,778,11.490565,11.044387
5,1,-2,10,22,2828.413772,2583,2561,1558,1556,790,777,11.617732,11.108647
6,1,-2,10,22,2986.672674,2435,2413,1455,1453,783,770,11.577932,10.98723
7,1,-2,10,22,3131.753388,2316,2294,1385,1383,782,768,11.54946,10.874562
8,1,-2,10,22,3273.516222,2238,2216,1339,1337,782,767,11.595956,10.802826
4,2,-2,10,22,2617.632615,2799,2777,1717,1715,789,776,11.521838,11.03064
5,2,-2,10,22,2806.786362,2535,2513,1518,1516,782,769,11.691323,11.11083
6,2,-2,10,22,2970.525827,2403,2380,1439,1436,784,770,11.61822,10.958732
7,2,-2,10,22,3115.242456,2297,2275,1373,1371,781,766,11.579943,10.814065
8,2,-2,10,22,3250.934029,2210,2188,1318,1316,780,764,11.616915,10.747738
4,3,-2,10,22,2624.748595,2794,2772,1717,1715,788,775,11.479439,10.996286
5,3,-2,10,22,2822.000541,2532,2510,1523,1521,788,775,11.626785,11.047328
6,3,-2,10,22,2968.173495,2402,2380,1439,1437,782,769,11.528603,10.87277
7,3,-2,10,22,3113.605077,2297,2275,1375,1373,776,761,11.529358,10.760403
8,3,-2,10,22,3244.58584,2207,2185,1318,1316,778,763,11.608383,10.732238
4,0,-1,10,22,2522.800012,2876,2854,1789,1787,809,796,12.141342,11.238139
5,0,-1,10,22,2728.696818,2598,2576,1573,1571,800,786,12.318232,11.326951
6,0,-1,10,22,2875.947589,2452,2430,1466,1464,793,778,12.192384,11.112858
7,0,-1,10,22,3006.060397,2344,2322,1400,1398,792,776,12.210129,11.031894
8,0,-1,10,22,3144.484709,2264,2242,1350,1348,791,775,12.221759,10.954722
4,1,-1,10,22,2543.263127,2904,2882,1797,1795,805,793,12.147253,11.270214
5,1,-1,10,22,2751.584872,2623,2601,1589,1587,805,791,12.395533,11.425599
6,1,-1,10,22,2898.36924,2467,2445,1478,1476,795,780,12.231527,11.183817
7,1,-1,10,22,3026.517499,2360,2338,1408,1406,797,782,12.244281,11.100319
8,1,-1,10,22,3154.973526,2277,2255,1356,1354,795,779,12.273322,11.034591
4,2,-1,10,22,2524.477532,2834,2812,1750,1748,798,784,12.074205,11.193404
5,2,-1,10,22,2725.177893,2578,2555,1555,1552,798,783,12.272186,11.284313
6,2,-1,10,22,2878.935997,2429,2407,1450,1448,792,777,12.179359,11.101802
7,2,-1,10,22,3008.417975,2329,2307,1385,1383,793,777,12.216996,11.019952
8,2,-1,10,22,3145.408522,2246,2224,1332,1330,790,774,12.217559,10.937371
4,3,-1,10,22,2522.504417,2828,2806,1744,1742,799,784,12.19693,11.224431
5,3,-1,10,22,2725.768096,2574,2552,1550,1548,803,787,12.385298,11.321255
6,3,-1,10,22,2863.863424,2434,2412,1452,1450,793,776,12.294651,11.133417
7,3,-1,10,22,3008.971396,2336,2314,1392,1390,793,777,12.31219,11.03221
8,3,-1,10,22,3146.342636,2254,2232,1340,1338,789,773,12.314842,10.972361
4,0,0,10,22,2525.683921,2893,2871,1795,1793,800,788,12.116513,11.215181
5,0,0,10,22,2732.572275,2608,2586,1581,1579,802,788,12.335686,11.344974
6,0,0,10,22,2879.224341,2461,2439,1474,1472,795,780,12.24298,11.161144
7,0,0,10,22,3008.520761,2357,2335,1407,1405,793,778,12.214752,11.053084
8,0,0,10,22,3143.559486,2280,2258,1361,1359,787,771,12.212776,10.959433
4,1,0,10,22,2554.275277,2948,2926,1819,1817,808,796,12.17195,11.312114
5,1,0,10,22,2755.729387,2662,2640,1613,1611,814,801,12.478659,11.533085
6,1,0,10,22,2914.674686,2497,2475,1496,1494,806,792,12.318667,11.291393
7,1,0,10,22,3028.784996,2388,2366,1425,1423,801,786,12.296093,11.178164
8,1,0,10,22,3169.452138,2311,2289,1382,1380,796,781,12.287582,11.096628
4,2,0,10,22,2533.871118,2904,2882,1797,1795,799,787,12.130304,11.278015
5,2,0,10,22,2734.545685,2614,2592,1582,1580,801,787,12.348998,11.406283
6,2,0,10,22,2883.497133,2460,2438,1471,1469,794,779,12.24417,11.215663
7,2,0,10,22,3013.540139,2357,2335,1406,1404,791,776,12.165977,11.058508
8,2,0,10,22,3145.186038,2280,2258,1359,1357,788,772,12.157987,10.946216
4,3,0,10,22,2540.061336,2868,2846,1765,1763,807,793,12.198384,11.269358
5,3,0,10,22,2727.894782,2607,2585,1575,1573,807,793,12.474879,11.438797
6,3,0,10,22,2871.510327,2457,2435,1464,1462,800,784,12.378726,11.242423
7,3,0,10,22,3007.579262,2365,2343,1410,1408,793,778,12.409437,11.142988
8,3,0,10,22,3152.00655,2280,2258,1355,1353,789,773,12.36867,11.003718
4,0,1,10,22,2579.88677,2859,2836,1759,1756,802,789,12.018783,11.206898
5,0,1,10,22,2770.858724,2591,2567,1565,1561,809,794,12.296358,11.383267
6,0,1,10,22,2920.403117,2443,2419,1458,1454,798,783,12.143299,11.137797
7,0,1,10,22,3063.869543,2344,2320,1392,1388,797,780,12.152406,11.032852
8,0,1,10,22,3198.815384,2261,2238,1343,1340,790,774,12.144618,10.924897
4,1,1,10,22,2594.227126,2929,2906,1808,1805,810,797,12.009813,11.240858
5,1,1,10,22,2790.795043,2640,2617,1596,1593,811,798,12.369261,11.50795
6,1,1,10,22,2930.754077,2480,2457,1481,1478,802,787,12.217194,11.258408
7,1,1,10,22,3071.766392,2369,2346,1410,1407,803,787,12.183917,11.116283
8,1,1,10,22,3207.317331,2290,2267,1364,1361,798,782,12.187401,11.037944
4,2,1,10,22,2598.039366,2921,2898,1796,1793,807,794,11.990682,11.267729
5,2,1,10,22,2802.012275,2636,2613,1593,1590,810,797,12.261509,11.443144
6,2,1,10,22,2948.585934,2473,2450,1476,1473,802,787,12.200029,11.290094
7,2,1,10,22,3084.876818,2363,2340,1404,1401,802,786,12.185065,11.167967
8,2,1,10,22,3214.809228,2284,2261,1360,1357,797,781,12.139369,11.018031
4,3,1,10,22,2605.222405,2864,2839,1762,1757,806,793,12.131396,11.3081
5,3,1,10,22,2795.646211,2606,2581,1571,1566,806,791,12.350513,11.428504
6,3,1,10,22,2945.015065,2451,2427,1458,1454,799,784,12.198423,11.175821
7,3,1,10,22,3074.418775,2357,2333,1400,1396,798,781,12.191266,11.045569
8,3,1,10,22,3220.887543,2269,2245,1345,1341,796,778,12.201757,10.96161
4,0,2,10,22,2494.75338,2762,2740,1715,1713,757,744,11.378764,10.64317
5,0,2,10,22,2676.552049,2495,2473,1510,1508,760,747,11.459052,10.622303
6,0,2,10,22,2827.873441,2358,2335,1419,1416,756,743,11.390343,10.463192
7,0,2,10,22,2969.151807,2244,2221,1344,1341,753,737,11.362555,10.342845
8,0,2,10,22,3096.017324,2168,2145,1297,1294,748,732,11.356012,10.256417
4,1,2,10,22,2507.700385,2794,2772,1743,1741,762,749,11.151872,10.467292
5,1,2,10,22,2680.13018,2516,2495,1534,1533,761,748,11.373816,10.600263
6,1,2,10,22,2848.809536,2376,2355,1435,1434,755,742,11.324106,10.44061
7,1,2,10,22,2983.530047,2258,2237,1355,1354,751,738,11.310338,10.363539
8,1,2,10,22,3114.297623,2177,2155,1305,1303,744,731,11.253596,10.233999
4,2,2,10,22,2519.172355,2829,2807,1760,1758,767,754,11.169847,10.519287
5,2,2,10,22,2697.967568,2547,2525,1555,1553,766,753,11.415578,10.666835
6,2,2,10,22,2846.370057,2393,2372,1448,1447,756,743,11.374587,10.534766
7,2,2,10,22,2991.624262,2269,2248,1365,1364,751,738,11.357721,10.452787
8,2,2,10,22,3118.118211,2182,2161,1309,1308,752,738,11.364621,10.389205
4,3,2,10,22,2510.850161,2761,2738,1712,1709,760,747,11.149105,10.464194
5,3,2,10,22,2688.595905,2495,2473,1513,1511,761,748,11.348735,10.569641
6,3,2,10,22,2840.674095,2366,2344,1427,1425,754,741,11.297603,10.432455
7,3,2,10,22,2989.411921,2242,2220,1344,1342,751,737,11.26325,10.307934
8,3,2,10,22,3120.184529,2162,2140,1293,1291,739,724,11.238734,10.220563
4,0,-2,14,22,2756.715617,3481,3459,2149,2147,810,799,12.045958,11.741226
5,0,-2,14,22,2954.703925,3088,3066,1917,1915,803,792,11.980034,11.635544
6,0,-2,14,22,3129.223675,2860,2838,1759,1757,794,783,11.83394,11.445595
7,0,-2,14,22,3257.055363,2672,2650,1621,1619,788,775,11.670641,11.250464
8,0,-2,14,22,3391.315336,2546,2524,1523,1521,780,767,11.635891,11.168946
4,1,-2,14,22,2752.021276,3482,3460,2144,2142,801,790,11.835636,11.534087
5,1,-2,14,22,2954.448287,3080,3058,1911,1909,802,791,12.004452,11.663796
6,1,-2,14,22,3129.238078,2855,2833,1753,1751,795,784,11.824286,11.456005
7,1,-2,14,22,3268.271453,2665,2643,1613,1611,786,773,11.703874,11.294624
8,1,-2,14,22,3400.970605,2553,2531,1527,1525,782,769,11.652415,11.194235
4,2,-2,14,22,2734.237629,3405,3382,2104,2101,798,787,11.84333,11.515378
5,2,-2,14,22,2935.71625,3032,3010,1887,1885,798,787,11.96144,11.597301
6,2,-2,14,22,3110.148942,2817,2795,1730,1728,787,775,11.813719,11.399495
7,2,-2,14,22,3242.491485,2635,2613,1592,1590,779,766,11.694441,11.25008
8,2,-2,14,22,3381.439966,2517,2495,1503,1501,777,763,11.635185,11.145394
4,3,-2,14,22,2725.998759,3409,3387,2107,2105,795,784,11.806624,11.48555
5,3,-2,14,22,2934.172086,3036,3014,1892,1890,795,784,11.945117,11.585416
6,3,-2,14,22,3105.58448,2813,2791,1728,1726,780,768,11.745742,11.335685
7,3,-2,14,22,3247.752515,2628,2606,1589,1587,776,763,11.635086,11.193272
8,3,-2,14,22,3373.693388,2514,2492,1504,1502,776,762,11.601566,11.118142
4,0,-1,14,22,2661.3622,3435,3413,2119,2117,795,784,11.990632,11.525421
5,0,-1,14,22,2861.566835,3069,3047,1914,1912,799,787,12.206371,11.699473
6,0,-1,14,22,3007.07884,2830,2808,1744,1742,792,780,12.068445,11.477471
7,0,-1,14,22,3157.932837,2657,2635,1617,1615,788,774,11.964397,11.323289
8,0,-1,14,22,3273.159598,2533,2511,1523,1521,783,770,11.904822,11.211075
4,1,-1,14,22,2682.810199,3452,3430,2124,2122,803,792,12.064779,11.612036
5,1,-1,14,22,2884.534373,3092,3070,1923,1921,799,787,12.224567,11.736035
6,1,-1,14,22,3019.218837,2854,2832,1759,1757,798,786,12.121805,11.544748
7,1,-1,14,22,3165.599356,2677,2655,1630,1628,789,776,11.99887,11.371792
8,1,-1,14,22,3280.1134,2548,2526,1535,1533,788,774,11.956652,11.280935
4,2,-1,14,22,2662.028528,3386,3364,2094,2092,790,779,12.02829,11.556194
5,2,-1,14,22,2862.524254,3038,3016,1894,1892,797,785,12.205132,11.692728
6,2,-1,14,22,2992.430653,2812,2790,1731,1729,789,776,12.072941,11.4827
7,2,-1,14,22,3131.698769,2644,2622,1601,1599,784,770,11.918487,11.304973
8,2,-1,14,22,3260.535946,2516,2494,1509,1507,780,767,11.862386,11.174618
4,3,-1,14,22,2659.828024,3379,3357,2081,2079,788,777,12.048465,11.547727
5,3,-1,14,22,2860.622258,3024,3002,1883,1881,796,784,12.264628,11.723091
6,3,-1,14,22,2996.092567,2793,2771,1723,1721,792,778,12.15926,11.529045
7,3,-1,14,22,3135.255875,2637,2615,1595,1593,789,775,12.051901,11.367385
8,3,-1,14,22,3256.845058,2509,2487,1506,1504,782,769,11.967718,11.230202
5,0,0,14,22,2864.496569,3063,3041,1913,1911,795,784,12.161279,11.673842
6,0,0,14,22,3014.872879,2840,2818,1757,1755,792,780,12.029896,11.448676
4,1,0,14,22,2691.816988,3493,3471,2144,2142,802,791,12.041538,11.597228
5,1,0,14,22,2893.073427,3117,3096,1936,1935,798,787,12.214507,11.752452
6,1,0,14,22,3012.699846,2881,2860,1778,1777,797,785,12.108141,11.554791
7,1,0,14,22,3168.421113,2695,2674,1644,1643,785,772,11.958323,11.37951
8,1,0,14,22,3292.402397,2570,2548,1552,1550,786,773,11.913209,11.255106
4,2,0,14,22,2663.602581,3450,3429,2130,2129,794,783,11.964797,11.522758
5,2,0,14,22,2857.734538,3070,3048,1912,1910,794,782,12.154181,11.669186
6,2,0,14,22,2998.496383,2849,2827,1758,1756,782,770,11.984438,11.430828
7,2,0,14,22,3142.909867,2663,2641,1622,1620,783,770,11.829999,11.248674
8,2,0,14,22,3266.403745,2536,2514,1526,1524,777,765,11.812732,11.161482
4,3,0,14,22,2669.212085,3427,3405,2114,2112,798,787,12.027533,11.548031
5,3,0,14,22,2866.965749,3038,3016,1896,1894,797,785,12.263579,11.745342
6,3,0,14,22,2992.343114,2811,2789,1730,1728,791,779,12.15001,11.536126
7,3,0,14,22,3145.19662,2654,2632,1609,1607,786,772,11.964593,11.309688
8,3,0,14,22,3259.912534,2527,2505,1521,1519,781,768,11.936266,11.217724
4,0,1,14,22,2743.89677,3446,3423,2115,2112,808,797,12.049474,11.62729
5,0,1,14,22,2936.57922,3074,3051,1904,1901,807,796,12.218322,11.770849
6,0,1,14,22,3086.677807,2836,2813,1740,1737,801,789,12.046085,11.531367
7,0,1,14,22,3239.185442,2661,2638,1611,1608,791,778,11.955997,11.382276
8,0,1,14,22,3378.918764,2535,2512,1519,1516,787,773,11.898889,11.272414
4,1,1,14,22,2752.200526,3507,3485,2146,2144,813,802,12.083497,11.678829
5,1,1,14,22,2950.355144,3133,3110,1935,1932,809,798,12.256853,11.831172
6,1,1,14,22,3088.841284,2891,2868,1776,1773,808,796,12.105577,11.605659
7,1,1,14,22,3256.391017,2700,2678,1638,1636,800,787,12.007101,11.452995
8,1,1,14,22,3380.515902,2555,2533,1532,1530,792,778,11.953361,11.349414
4,2,1,14,22,2749.733619,3504,3481,2143,2140,812,801,12.094668,11.712564
5,2,1,14,22,2946.051926,3125,3102,1927,1924,811,800,12.267057,11.848822
6,2,1,14,22,3095.839744,2877,2855,1765,1763,807,795,12.113458,11.640376
7,2,1,14,22,3232.311494,2693,2671,1631,1629,798,785,11.959708,11.454257
8,2,1,14,22,3366.549087,2569,2546,1538,1535,793,779,11.919159,11.347854
4,3,1,14,22,2747.961832,3434,3411,2108,2105,807,796,12.083637,11.658022
5,3,1,14,22,2946.736671,3077,3054,1901,1898,810,798,12.246872,11.796041
6,3,1,14,22,3088.243981,2837,2814,1741,1738,803,791,12.05161,11.52974
7,3,1,14,22,3225.987142,2662,2639,1609,1606,793,780,11.957048,11.379108
8,3,1,14,22,3371.44341,2535,2512,1520,1517,790,776,11.898923,11.264652
4,0,2,14,22,2598.24415,3318,3295,2073,2070,766,755,11.684163,11.243874
5,0,2,14,22,2799.723324,2990,2967,1867,1864,770,758,11.821493,11.335812
6,0,2,14,22,2967.816985,2768,2747,1708,1707,770,757,11.675123,11.128125
7,0,2,14,22,3108.199571,2595,2574,1577,1576,759,747,11.589367,11.007978
8,0,2,14,22,3237.960088,2466,2445,1485,1484,760,747,11.508153,10.88332
4,1,2,14,22,2623.086436,3380,3359,2102,2101,771,760,11.577167,11.164885
5,1,2,14,22,2824.144188,3019,2998,1889,1888,773,761,11.749867,11.297157
6,1,2,14,22,2991.017798,2807,2786,1735,1734,767,754,11.647947,11.136236
7,1,2,14,22,3119.907508,2618,2597,1598,1597,761,749,11.559637,11.016191
8,1,2,14,22,3240.083622,2488,2467,1503,1502,758,746,11.501499,10.902787
4,2,2,14,22,2632.099709,3411,3390,2119,2118,775,764,11.624873,11.214803
5,2,2,14,22,2823.63616,3040,3019,1903,1902,777,766,11.800428,11.363774
6,2,2,14,22,2990.77284,2820,2799,1746,1745,773,760,11.680059,11.186216
7,2,2,14,22,3130.917363,2639,2618,1612,1611,766,754,11.576701,11.050975
8,2,2,14,22,3257.959391,2500,2480,1512,1511,763,751,11.522148,10.945153
4,3,2,14,22,2607.77835,3339,3317,2081,2079,767,756,11.600827,11.186294
5,3,2,14,22,2805.354157,2999,2977,1877,1875,768,756,11.757195,11.290682
6,3,2,14,22,2980.931169,2784,2761,1718,1715,766,753,11.62608,11.103111
7,3,2,14,22,3124.471425,2589,2567,1576,1574,760,748,11.53957,10.983511
8,3,2,14,22,3248.861179,2469,2447,1485,1483,753,741,11.43511,10.831483
4,0,3,14,22,2589.743379,3291,3270,2063,2062,741,730,11.261562,10.854852
5,0,3,14,22,2792.793072,2962,2941,1864,1863,745,734,11.472444,11.01634
6,0,3,14,22,2956.806958,2747,2726,1710,1709,742,729,11.366927,10.85017
7,0,3,14,22,3090.228758,2566,2546,1573,1572,738,726,11.245473,10.69691
8,0,3,14,22,3217.82501,2434,2414,1482,1481,734,722,11.191758,10.589458
4,1,3,14,22,2602.632761,3332,3312,2089,2088,744,733,11.20457,10.813917
5,1,3,14,22,2793.078552,2988,2969,1892,1891,750,739,11.428196,10.995642
6,1,3,14,22,2958.902683,2761,2741,1726,1725,741,728,11.30976,10.815127
7,1,3,14,22,3089.074523,2568,2548,1583,1582,734,722,11.216618,10.692903
4,2,3,14,22,2628.569295,3381,3361,2114,2113,754,743,11.207077,10.826098
5,2,3,14,22,2810.628059,3029,3010,1907,1906,757,746,11.506547,11.099485
6,2,3,14,22,2983.707127,2802,2783,1745,1744,748,736,11.350396,10.890048
7,2,3,14,22,3114.420457,2611,2591,1607,1606,744,731,11.302905,10.802641
8,2,3,14,22,3233.51387,2471,2451,1512,1511,736,724,11.223338,10.679974
4,3,3,14,22,2599.915718,3339,3319,2089,2088,746,735,11.284555,10.899558
5,3,3,14,22,2797.131433,2990,2971,1888,1887,741,730,11.406613,10.984933
6,3,3,14,22,2968.607608,2773,2753,1728,1727,737,724,11.257918,10.787469
7,3,3,14,22,3097.507277,2582,2562,1587,1586,733,721,11.050788,10.541368
5,0,-2,18,22,3091.131883,3569,3547,2176,2174,822,811,12.703216,12.405499
6,0,-2,18,22,3221.254445,3248,3248,2013,2013,805,794,12.287488,11.983682
7,0,-2,18,22,3353.114041,3046,3024,1883,1881,798,787,12.040368,11.713002
8,0,-2,18,22,3488.904407,2872,2850,1761,1759,790,779,11.936755,11.587661
5,1,-2,18,22,3100.530456,3575,3553,2176,2174,820,809,12.705941,12.405186
