in:Solar Chimney Height (m),in:SC Orientation,in:Room Orientation,in:Room Width(m),in:Room Depth(m),out:FlowRate_m3/hr,out:TotalDiscomfortHours,out:TooHotDiscomfortHours,out:OT_TotalDiscomfortHours,out:OT_TooHotDiscomfortHours,out:NS_OT_TotalDiscomfortHours,out:NS_OT_TooHotDiscomfortHours,out:TotalEnergy,out:CoolingEnergy
4,0,-2,10,10,2870.20806,1788,1788,1158,1158,832,832,25.431986,22.03781
4,1,-2,10,10,2887.744917,1785,1785,1155,1155,824,824,24.841019,21.538903
5,1,-2,10,10,3067.136153,1715,1715,1103,1103,814,814,25.586298,21.54533
4,2,-2,10,10,2867.375942,1762,1762,1135,1135,813,813,25.183331,21.433951
4,3,-2,10,10,2873.38214,1758,1758,1136,1136,798,798,24.956707,21.265082
5,3,-2,10,10,3042.272428,1687,1687,1086,1086,785,785,25.588371,21.21649
4,0,-1,10,10,2795.973562,1755,1755,1139,1139,789,789,24.991879,21.127492
5,0,-1,10,10,2977.221699,1677,1677,1081,1081,752,752,25.405278,20.87916
6,0,-1,10,10,3156.316459,1640,1640,1059,1059,738,738,25.559845,20.416441
4,1,-1,10,10,2841.882481,1772,1772,1147,1147,799,799,25.020094,21.230409
5,1,-1,10,10,3013.342646,1694,1694,1090,1090,783,783,25.568833,21.200542
4,2,-1,10,10,2802.656207,1735,1735,1119,1119,770,770,25.024476,20.974153
5,2,-1,10,10,2985.405321,1673,1673,1077,1077,753,753,25.412128,20.739615
4,3,-1,10,10,2790.612467,1735,1735,1116,1116,774,774,25.292825,20.999738
4,0,0,10,10,2778.784238,1730,1730,1126,1126,728,728,24.299365,20.466585
5,0,0,10,10,2972.709141,1667,1667,1077,1077,696,696,24.635212,20.156051
6,0,0,10,10,3121.106217,1631,1631,1056,1056,684,684,24.968278,19.820322
7,0,0,10,10,3284.451789,1609,1609,1044,1044,669,669,25.10024,19.525035
8,0,0,10,10,3456.8469,1595,1595,1033,1033,656,656,25.446654,19.266259
4,1,0,10,10,2841.170513,1763,1763,1151,1151,769,769,24.30998,20.686267
5,1,0,10,10,3008.770105,1687,1687,1093,1093,749,749,24.977947,20.73014
6,1,0,10,10,3177.404243,1651,1651,1071,1071,732,732,25.166141,20.335874
7,1,0,10,10,3330.315801,1628,1628,1057,1057,720,720,25.435456,20.032978
4,2,0,10,10,2809.078959,1737,1737,1130,1130,733,733,24.316977,20.506402
5,2,0,10,10,2989.932429,1665,1665,1076,1076,712,712,24.623485,20.216298
6,2,0,10,10,3138.827173,1633,1633,1057,1057,691,691,24.790692,19.799064
7,2,0,10,10,3303.179949,1611,1611,1042,1042,665,665,25.062839,19.467906
8,2,0,10,10,3451.647965,1594,1594,1032,1032,655,655,25.30551,19.23265
4,3,0,10,10,2780.745421,1730,1730,1122,1122,743,743,24.745023,20.555194
5,3,0,10,10,2971.618491,1669,1669,1076,1076,721,721,25.248366,20.454282
6,3,0,10,10,3134.189707,1635,1635,1055,1055,701,701,25.541063,20.151872
4,0,1,10,10,2892.964037,1758,1758,1136,1136,789,789,24.629471,20.937542
